Smoothing,Model,RMSE_train,RMSE_test,MAE_train,MAE_test,R2_train,R2_test
No Smoothing,Persistence,0.19759242556838283,0.20104062599760253,0.16704925416036528,0.14781633485337187,-0.9515519378656536,-0.15133157636214145
No Smoothing,Linear Regression,0.14090308481934874,0.18838772440309537,0.11158034408073624,0.1362004588119701,0.007614222383107938,-0.010969283029536925
SMA (w=3),Persistence,0.08311980693893022,0.20108828885441918,0.06160842427509094,0.14916322045951672,0.04127808277407663,-0.15187755811873194
SMA (w=3),Linear Regression,0.08348027356631167,0.18858185615131878,0.06605536594835071,0.13529421613626408,0.03294465118953649,-0.01305394494261325
SMA (w=6),Persistence,0.09016205710150456,0.20136285568437012,0.04903068247512692,0.15198084287590458,-0.667635760969556,-0.15502526291897478
SMA (w=6),Linear Regression,0.06838365113932304,0.18859335321197668,0.050675508220049605,0.13708809637238048,0.040691824238317964,-0.013177472178283134
EWMA (span=3),Persistence,0.08566903707495085,0.20104218802028287,0.07087746327933807,0.14790992794199492,-0.13513800677817556,-0.15134946740294453
EWMA (span=3),Linear Regression,0.07954272604202775,0.18840110873813234,0.061785639574177605,0.136843180589354,0.021407606477510832,-0.011112940290764373
EWMA (span=6),Persistence,0.05042632329098878,0.20110945498123306,0.0394624722267096,0.14951204695542314,0.2098291263471188,-0.1521200592583365
EWMA (span=6),Linear Regression,0.05570797933082496,0.1885226582343018,0.044823834283980436,0.1382533777033925,0.03563548603491573,-0.012418027237040885
