Date,value
2010-01-31,5.1499999999999995
2010-02-28,4.792
2010-03-31,3.625
2010-04-30,6.873333333333334
2010-05-31,7.846666666666667
2010-06-30,6.970000000000001
2010-07-31,6.7
2010-08-31,3.9219999999999997
2010-09-30,7.45
2010-10-31,8.57
2010-11-30,9.81
2010-12-31,7.6925
2011-01-31,4.236666666666667
2011-02-28,2.505
2011-03-31,4.84
2011-04-30,4.84
2011-05-31,6.3100000000000005
2011-06-30,4.955
2011-07-31,7.54
2011-08-31,8.94
2011-09-30,1.4883333333333333
2011-10-31,2.706666666666667
2011-11-30,8.405
2011-12-31,3.9019999999999997
2012-01-31,2.6
2012-02-29,9.32
2012-03-31,4.8325
2012-04-30,5.7219999999999995
2012-05-31,7.213333333333334
2012-06-30,5.415
2012-08-31,7.41
2012-09-30,4.603333333333333
2012-10-31,4.4399999999999995
2012-11-30,4.7175
2012-12-31,0.9833333333333334
2013-01-31,2.1366666666666663
2013-02-28,7.223333333333334
2013-03-31,5.05
2013-04-30,5.87
2013-05-31,8.26
2013-06-30,5.279999999999999
2013-07-31,3.21
2013-08-31,3.9333333333333336
2013-09-30,4.09
2013-10-31,1.4266666666666665
2013-11-30,4.62
2013-12-31,4.6000000000000005
2014-01-31,6.45
2014-02-28,6.285
2014-03-31,5.84
2014-04-30,3.3275
2014-05-31,3.2939999999999996
2014-06-30,4.291428571428572
2014-07-31,6.52
2014-09-30,9.62
2014-10-31,5.371428571428572
2014-11-30,4.025
2014-12-31,5.029999999999999
2015-01-31,2.59
2015-02-28,3.3880000000000003
2015-03-31,5.085
2015-04-30,2.06
2015-05-31,7.353333333333334
2015-06-30,6.880000000000001
2015-07-31,5.663333333333334
2015-08-31,5.125
2015-09-30,3.632
2015-10-31,0.955
2015-11-30,6.84
2015-12-31,8.585
2016-01-31,8.64
2016-02-29,5.98
2016-03-31,6.4975000000000005
2016-04-30,9.44
2016-08-31,4.72
2016-09-30,6.6625
2016-10-31,3.51
2016-12-31,4.22
2017-01-31,1.31
2017-02-28,2.742
2017-03-31,9.54
2017-04-30,4.903333333333333
2017-05-31,7.1225
2017-06-30,6.4557142857142855
2017-08-31,5.7299999999999995
2017-09-30,6.336666666666666
2017-10-31,4.83
2017-11-30,7.446666666666666
2017-12-31,5.055714285714286
2018-01-31,1.0
2018-02-28,6.245
2018-03-31,5.222222222222222
2018-04-30,8.806666666666667
2018-05-31,6.711666666666666
2018-07-31,2.2800000000000002
2018-08-31,5.674285714285714
2018-09-30,7.57
2018-10-31,2.915
2018-11-30,6.15
2018-12-31,3.4333333333333336
2019-01-31,7.365
2019-02-28,9.9
2019-03-31,7.640000000000001
2019-04-30,8.685
2019-05-31,4.791666666666667
2019-06-30,7.22
2019-07-31,7.653333333333333
2019-08-31,5.0
2019-09-30,4.5575
2019-10-31,4.785
2019-11-30,0.03
2019-12-31,3.52
2020-01-31,4.515000000000001
2020-02-29,6.23
2020-03-31,2.47
2020-04-30,2.6433333333333335
2020-05-31,1.6
2020-06-30,4.32
2020-07-31,7.845
2020-08-31,5.308571428571429
2020-09-30,5.115714285714286
2020-10-31,5.195714285714287
2020-11-30,7.159999999999999
2020-12-31,6.329999999999999
2021-02-28,4.6899999999999995
2021-03-31,5.438
2021-04-30,4.553333333333334
2021-05-31,5.5375
2021-06-30,2.6100000000000003
2021-07-31,5.03
2021-08-31,2.35
2021-09-30,2.26
2021-10-31,4.04
2021-11-30,7.73
2021-12-31,4.746666666666666
2022-01-31,5.183333333333334
2022-02-28,4.225
2022-03-31,5.53
2022-04-30,4.7975
2022-06-30,5.525
2022-07-31,7.404999999999999
2022-08-31,4.465714285714285
2022-09-30,3.0833333333333335
2022-10-31,3.263333333333333
2022-11-30,2.9850000000000003
2023-01-31,1.245
2023-02-28,2.905
2023-03-31,6.47
2023-04-30,6.8100000000000005
2023-05-31,3.95375
2023-06-30,5.580000000000001
2023-07-31,4.04
2023-08-31,4.91
2023-09-30,7.32
2023-10-31,8.04
2023-11-30,9.23
