crash_date,traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
119256,15,2,3,17,8,3,0,1,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,14,3,8
33740,16,2,3,17,1,3,0,1,1,1,2,18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,13,3,3
38865,4,11,5,7,10,3,5,1,0,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,1.0,1,5,3
187451,16,7,1,10,6,3,6,1,1,1,2,19,2,2,0.0,0.0,0.0,0.0,0.0,2.0,23,5,12
44987,16,2,3,10,2,3,0,1,0,1,2,17,2,3,4.0,0.0,0.0,1.0,3.0,0.0,16,7,4
112143,16,2,3,10,2,3,0,5,1,1,1,19,2,2,0.0,0.0,0.0,0.0,0.0,2.0,14,1,8
182922,4,2,3,2,8,3,0,2,0,1,2,8,1,3,1.0,0.0,0.0,1.0,0.0,0.0,8,3,12
181573,15,2,3,17,6,3,0,1,0,1,2,5,2,2,0.0,0.0,0.0,0.0,0.0,3.0,12,5,12
71499,16,2,3,9,15,3,0,1,0,1,0,18,2,3,1.0,0.0,0.0,1.0,0.0,1.0,18,2,5
6311,15,10,4,0,8,3,6,1,0,1,2,18,2,2,0.0,0.0,0.0,0.0,0.0,3.0,16,6,1
149655,16,2,3,17,6,3,0,1,0,1,1,17,2,3,1.0,0.0,0.0,1.0,0.0,1.0,16,2,10
54579,16,2,1,15,8,3,0,1,1,1,2,22,2,2,0.0,0.0,0.0,0.0,0.0,2.0,22,6,4
116558,16,2,2,15,12,3,0,1,1,1,1,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,5,5,8
23453,15,2,1,0,16,4,0,1,0,1,2,17,2,4,1.0,0.0,0.0,0.0,1.0,2.0,20,1,2
131192,16,2,3,15,6,3,5,5,1,1,2,22,2,2,0.0,0.0,0.0,0.0,0.0,2.0,8,5,9
183533,4,2,3,7,15,3,6,1,1,1,2,12,2,2,0.0,0.0,0.0,0.0,0.0,1.0,6,6,12
75337,16,2,0,0,15,3,0,1,0,1,2,6,2,1,5.0,0.0,1.0,4.0,0.0,2.0,23,3,6
46586,16,11,5,15,19,3,5,5,1,1,0,36,2,2,0.0,0.0,0.0,0.0,0.0,3.0,15,2,4
59865,16,7,3,17,1,3,6,1,1,0,2,24,2,2,0.0,0.0,0.0,0.0,0.0,2.0,16,2,5
43004,16,2,3,10,2,3,6,1,0,0,2,19,2,3,2.0,0.0,0.0,2.0,0.0,2.0,22,7,4
54595,15,2,1,17,8,3,0,1,0,0,2,18,2,2,0.0,0.0,0.0,0.0,0.0,3.0,1,7,4
115324,16,2,1,17,15,3,0,1,0,1,2,6,2,2,0.0,0.0,0.0,0.0,0.0,2.0,22,7,8
94567,16,7,3,10,2,3,6,5,1,1,2,19,2,2,0.0,0.0,0.0,0.0,0.0,2.0,13,7,7
170065,4,2,1,0,3,3,0,1,0,1,2,18,2,2,0.0,0.0,0.0,0.0,0.0,3.0,17,3,11
100545,17,11,5,15,8,3,5,5,1,0,1,36,2,2,0.0,0.0,0.0,0.0,0.0,4.0,14,2,7
138536,16,2,3,9,6,3,0,1,0,1,1,36,2,3,1.0,0.0,0.0,1.0,0.0,1.0,14,1,10
36289,16,2,3,10,8,3,0,1,1,1,1,19,2,2,0.0,0.0,0.0,0.0,0.0,2.0,14,1,3
84412,16,2,3,10,2,3,0,2,0,1,2,19,3,2,0.0,0.0,0.0,0.0,0.0,6.0,9,4,6
102829,16,2,3,17,6,3,0,1,0,1,2,18,2,3,2.0,0.0,0.0,2.0,0.0,0.0,17,2,7
109739,15,2,1,17,8,3,0,1,0,1,2,17,2,2,0.0,0.0,0.0,0.0,0.0,4.0,3,1,8
148473,16,7,3,17,6,3,6,5,0,1,2,24,2,3,1.0,0.0,0.0,1.0,0.0,1.0,17,5,10
110592,15,2,3,17,10,3,0,1,0,1,2,18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,9,5,8
180312,16,2,3,17,15,3,0,1,1,1,1,6,2,2,0.0,0.0,0.0,0.0,0.0,2.0,14,1,12
186685,16,2,3,17,6,3,0,1,0,1,2,6,2,2,0.0,0.0,0.0,0.0,0.0,2.0,12,6,12
24075,16,7,3,17,10,3,6,1,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,13,4,2
