Airline,Cancelled,CRSDepTime,CRSElapsedTime,Distance,Quarter,Month,DayofMonth,DayOfWeek,OriginAirportID,OriginStateName,OriginWac,DestAirportID,DestStateName,DestWac,CRSArrTime,DistanceGroup
7,False,2245,72.0,226.0,3,7,7,4,10397,8,34,11057,31,36,2357,1
3,False,1335,168.0,977.0,2,5,5,4,10423,42,74,13930,11,41,1623,4
18,False,850,180.0,1014.0,1,3,15,2,10693,41,54,11292,5,82,1050,5
18,False,1450,160.0,882.0,1,2,26,6,13204,7,33,15016,23,64,1630,4
1,False,1857,360.0,2378.0,2,5,17,2,14100,36,23,14747,48,93,2157,10
18,False,1245,110.0,630.0,2,4,27,3,11259,42,74,15624,7,33,1435,3
18,False,830,135.0,853.0,1,2,26,6,14679,4,91,11292,5,82,1145,4
1,False,1922,305.0,2086.0,2,6,18,6,13495,16,72,14747,48,93,2227,9
2,False,620,68.0,259.0,2,4,25,1,12889,26,85,11638,4,91,728,2
18,False,1035,170.0,1196.0,3,7,21,4,13891,4,91,10423,42,74,1525,5
1,False,745,130.0,696.0,2,5,19,4,14747,48,93,14831,4,91,955,3
5,False,1211,106.0,490.0,3,7,11,1,13360,7,33,11057,31,36,1357,2
3,False,1952,184.0,1231.0,3,7,30,6,11298,42,74,10800,4,91,2056,5
14,False,616,154.0,937.0,3,7,19,2,13204,7,33,11618,28,21,850,4
14,False,1144,110.0,509.0,2,6,11,6,11433,20,43,12478,30,22,1334,3
7,False,700,155.0,932.0,1,3,26,6,11193,15,52,11697,7,33,935,4
14,False,1500,204.0,1113.0,3,7,25,1,12478,30,22,13198,23,64,1724,5
3,False,1544,159.0,951.0,2,6,19,7,14100,36,23,14027,7,33,1823,4
20,False,1600,122.0,628.0,2,5,3,2,11618,28,21,10994,39,37,1802,3
7,False,735,220.0,1197.0,1,1,17,1,10721,19,13,14027,7,33,1115,5
3,False,700,199.0,1258.0,2,5,16,1,13303,7,33,10721,19,13,1019,6
10,False,1259,214.0,1371.0,3,7,20,3,15016,23,64,12889,26,85,1433,6
17,False,1550,78.0,296.0,3,7,13,3,11433,20,43,14576,30,22,1708,2
2,False,1636,107.0,601.0,2,6,15,3,15919,3,71,15624,7,33,1823,3
18,False,545,125.0,723.0,3,7,2,6,11884,48,93,13796,4,91,750,3
3,False,951,129.0,644.0,1,3,17,4,10529,6,11,11057,31,36,1200,3
18,False,1730,200.0,1381.0,2,5,19,4,11259,42,74,12953,30,22,2150,6
18,False,800,125.0,761.0,3,7,25,1,10397,8,34,13851,34,73,905,4
19,False,620,185.0,1085.0,1,3,22,2,11618,28,21,13303,7,33,925,5
18,False,1115,135.0,861.0,3,7,8,5,13232,11,41,10721,19,13,1430,4
13,False,1740,64.0,228.0,1,2,14,1,14747,48,93,14489,35,92,1844,1
17,False,1050,85.0,337.0,2,5,30,1,12892,4,91,14771,4,91,1215,2
3,False,1740,120.0,719.0,1,3,14,1,13930,11,41,11618,28,21,2040,3
18,False,2055,75.0,258.0,2,5,5,4,14679,4,91,12889,26,85,2210,2
4,False,1805,110.0,476.0,3,7,6,3,11057,31,36,11577,36,23,1955,2
5,False,820,136.0,653.0,1,2,23,3,11278,47,38,10599,0,51,936,3
14,False,1958,351.0,2343.0,1,2,1,2,11697,7,33,12892,4,91,2249,10
18,False,1015,60.0,197.0,2,4,24,7,13891,4,91,12889,26,85,1115,1
5,False,2000,94.0,391.0,1,2,12,6,11278,47,38,11267,33,44,2134,2
7,False,1600,178.0,1199.0,2,5,7,6,11292,5,82,10397,8,34,2058,5
18,False,1810,170.0,1020.0,2,4,25,1,12191,42,74,14107,2,81,1900,5
17,False,800,124.0,677.0,3,7,11,1,12892,4,91,10140,29,86,1104,3
7,False,1545,97.0,334.0,3,7,26,2,13930,11,41,13487,21,63,1722,2
1,False,800,377.0,2688.0,3,7,10,7,14747,48,93,12758,9,2,1117,11
12,False,1715,40.0,100.0,2,5,26,4,13830,9,2,12173,9,2,1755,1
3,False,600,231.0,1440.0,1,2,20,7,13930,11,41,14107,2,81,851,6
2,False,1624,165.0,1248.0,1,3,7,1,11292,5,82,10431,31,36,2109,5
14,True,1816,194.0,1173.0,1,1,3,1,10529,6,11,11697,7,33,2130,5
18,False,2155,120.0,657.0,2,6,7,2,10693,41,54,12266,42,74,2355,3
17,False,1440,115.0,590.0,1,1,17,1,12892,4,91,14869,45,87,1735,3
10,False,1256,145.0,763.0,3,7,20,3,12889,26,85,14057,35,92,1521,4
9,False,1453,109.0,501.0,1,2,18,5,13290,14,62,13930,11,41,1642,3
20,False,940,203.0,1346.0,2,6,13,1,12266,42,74,14908,4,91,1103,6
7,False,1825,155.0,760.0,3,7,12,2,10397,8,34,12478,30,22,2100,4
3,False,900,173.0,867.0,2,6,14,2,10721,19,13,13930,11,41,1053,4
16,False,1720,85.0,213.0,1,2,28,1,12478,30,22,11278,47,38,1845,1
4,False,1700,100.0,515.0,1,2,4,5,11996,39,37,14100,36,23,1840,3
3,False,1620,166.0,1089.0,1,2,19,6,13303,7,33,12478,30,22,1906,5
9,False,745,161.0,922.0,3,7,23,6,10868,39,37,11298,42,74,926,4
20,False,1800,139.0,733.0,2,5,1,7,13930,11,41,12953,30,22,2119,3
3,False,824,239.0,1587.0,2,6,22,3,10397,8,34,14107,2,81,923,7
17,False,1700,113.0,610.0,1,1,4,2,13244,41,54,11433,20,43,1953,3
8,False,2030,121.0,544.0,2,4,5,2,12953,30,22,11057,31,36,2231,3
15,False,730,137.0,693.0,1,2,25,5,13851,34,73,13930,11,41,947,3
18,False,1630,90.0,496.0,3,7,3,7,14683,42,74,11540,42,74,1700,2
1,False,600,175.0,954.0,1,2,24,4,12892,4,91,14747,48,93,855,4
18,False,1945,145.0,787.0,1,3,19,6,10821,18,35,13204,7,33,2210,4
4,False,1430,131.0,764.0,3,7,5,2,13485,50,45,14100,36,23,1741,4
5,False,1305,81.0,257.0,1,3,26,6,11057,31,36,14524,47,38,1426,2
10,False,1504,317.0,2139.0,2,5,6,5,10397,8,34,14771,4,91,1721,9
5,False,1622,72.0,221.0,3,7,11,1,11057,31,36,11146,49,39,1734,1
