,count,unique,top,freq,mean,std,min,25%,50%,75%,max
crash_type,209306,2,NO INJURY / DRIVE AWAY,117376,,,,,,,
num_units,209306.0,,,,2.0632996665169654,0.3960118828144409,1.0,2.0,2.0,2.0,11.0
injuries_total,209306.0,,,,0.38271717007634753,0.7997199800511943,0.0,0.0,0.0,1.0,21.0
injuries_fatal,209306.0,,,,0.001858522928153039,0.047501640907634896,0.0,0.0,0.0,0.0,3.0
injuries_incapacitating,209306.0,,,,0.03810210887408866,0.23396356300685647,0.0,0.0,0.0,0.0,7.0
injuries_non_incapacitating,209306.0,,,,0.22124067155265498,0.6149596972698961,0.0,0.0,0.0,0.0,21.0
injuries_reported_not_evident,209306.0,,,,0.12151586672145089,0.45086501269559465,0.0,0.0,0.0,0.0,15.0
injuries_no_indication,209306.0,,,,2.2440016053051512,1.2411750428700938,0.0,2.0,2.0,3.0,49.0
crash_hour,209306.0,,,,13.373047117617268,5.60383037958588,0.0,9.0,14.0,17.0,23.0
crash_day_of_week,209306.0,,,,4.144023582697104,1.9668636541942923,1.0,2.0,4.0,6.0,7.0
crash_month,209306.0,,,,6.771822116900615,3.4275929259058215,1.0,4.0,7.0,10.0,12.0
traffic_control_device,209306,19,TRAFFIC SIGNAL,123944,,,,,,,
weather_condition,209306,12,CLEAR,164700,,,,,,,
lighting_condition,209306,6,DAYLIGHT,134109,,,,,,,
first_crash_type,209306,18,TURNING,64157,,,,,,,
trafficway_type,209306,20,NOT DIVIDED,77753,,,,,,,
alignment,209306,6,STRAIGHT AND LEVEL,204590,,,,,,,
roadway_surface_cond,209306,7,DRY,155905,,,,,,,
road_defect,209306,7,NO DEFECTS,171730,,,,,,,
intersection_related_i,209306,2,Y,199324,,,,,,,
