,count,unique,top,freq,mean,std,min,25%,50%,75%,max
FlightDate,4078318,212,2022-07-21,20844,,,,,,,
Airline,4078318,21,Southwest Airlines Co.,731925,,,,,,,
Origin,4078318,375,ATL,183697,,,,,,,
Dest,4078318,375,ATL,183671,,,,,,,
Cancelled,4078318,2,False,3955126,,,,,,,
Diverted,4078318,2,False,4068108,,,,,,,
CRSDepTime,4078318.0,,,,1329.5866648946944,490.48012481371467,1.0,914.0,1320.0,1735.0,2359.0
DepTime,3957885.0,,,,1334.3739312789533,505.62193314196895,1.0,917.0,1325.0,1744.0,2400.0
DepDelayMinutes,3957823.0,,,,16.014938010113134,52.31497609477428,0.0,0.0,0.0,11.0,7223.0
DepDelay,3957823.0,,,,13.090486613474125,53.32016317663752,-78.0,-5.0,-2.0,11.0,7223.0
ArrTime,3954079.0,,,,1457.8860179576584,543.1841060487454,1.0,1046.0,1500.0,1914.0,2400.0
ArrDelayMinutes,3944916.0,,,,15.783071426615928,51.984235812795234,0.0,0.0,0.0,10.0,7232.0
AirTime,3944916.0,,,,111.00754870319165,69.96245895299775,8.0,60.0,94.0,141.0,727.0
CRSElapsedTime,4078318.0,,,,141.32107819939495,71.7963497812519,-48.0,89.0,124.0,171.0,690.0
ActualElapsedTime,3944916.0,,,,135.8623641162448,71.85500903520129,14.0,83.0,119.0,167.0,764.0
Distance,4078318.0,,,,797.865703213923,591.4741646084888,31.0,368.0,643.0,1035.0,5095.0
Year,4078318.0,,,,2022.0,0.0,2022.0,2022.0,2022.0,2022.0,2022.0
Quarter,4078318.0,,,,1.7412067916234095,0.7037563048678215,1.0,1.0,2.0,2.0,3.0
Month,4078318.0,,,,4.083803420920095,1.9989184355104683,1.0,2.0,4.0,6.0,7.0
DayofMonth,4078318.0,,,,15.711307946069924,8.760122370728563,1.0,8.0,16.0,23.0,31.0
DayOfWeek,4078318.0,,,,4.005566020109271,2.007050147179674,1.0,2.0,4.0,6.0,7.0
Marketing_Airline_Network,4078318,10,AA,1043530,,,,,,,
Operated_or_Branded_Code_Share_Partners,4078318,14,WN,731925,,,,,,,
DOT_ID_Marketing_Airline,4078318.0,,,,19831.006817516438,276.09066442016467,19393.0,19790.0,19805.0,19977.0,20436.0
IATA_Code_Marketing_Airline,4078318,10,AA,1043530,,,,,,,
Flight_Number_Marketing_Airline,4078318.0,,,,2562.1153048879464,1745.8262843512287,1.0,1105.0,2228.0,3877.0,9680.0
Operating_Airline,4078318,21,WN,731925,,,,,,,
DOT_ID_Operating_Airline,4078318.0,,,,19991.217456804497,376.76943330772224,19393.0,19790.0,19977.0,20378.0,20500.0
IATA_Code_Operating_Airline,4078318,21,WN,731925,,,,,,,
Tail_Number,4051523,5896,N475HA,1657,,,,,,,
Flight_Number_Operating_Airline,4078318.0,,,,2562.145420244326,1745.8733703344494,1.0,1105.0,2228.0,3877.0,9680.0
OriginAirportID,4078318.0,,,,12659.939662625622,1522.7127357579127,10135.0,11292.0,12889.0,14027.0,16869.0
OriginAirportSeqID,4078318.0,,,,1265997.8089719831,152271.07912735007,1013506.0,1129202.0,1288903.0,1402702.0,1686901.0
OriginCityMarketID,4078318.0,,,,31757.077015083178,1320.2955693444203,30070.0,30693.0,31453.0,32467.0,36101.0
OriginCityName,4078318,369,"Chicago, IL",213487,,,,,,,
OriginState,4078318,53,TX,426204,,,,,,,
OriginStateFips,4078318.0,,,,27.465040980129555,16.705471957506575,1.0,12.0,27.0,42.0,78.0
OriginStateName,4078318,53,Texas,426204,,,,,,,
OriginWac,4078318.0,,,,53.99368097338167,26.648197124971045,1.0,33.0,44.0,81.0,93.0
DestAirportID,4078318.0,,,,12659.897625197447,1522.7183178859832,10135.0,11292.0,12889.0,14027.0,16869.0
DestAirportSeqID,4078318.0,,,,1265993.6052169057,152271.63747720208,1013506.0,1129202.0,1288903.0,1402702.0,1686901.0
DestCityMarketID,4078318.0,,,,31757.039190911546,1320.2864993782255,30070.0,30693.0,31453.0,32467.0,36101.0
DestCityName,4078318,369,"Chicago, IL",213516,,,,,,,
DestState,4078318,53,TX,426207,,,,,,,
DestStateFips,4078318.0,,,,27.465502444880464,16.705670419891813,1.0,12.0,27.0,42.0,78.0
DestStateName,4078318,53,Texas,426207,,,,,,,
DestWac,4078318.0,,,,53.993381340052444,26.648491337403932,1.0,33.0,44.0,81.0,93.0
DepDel15,3957823.0,,,,0.218462523463025,0.41320296760788267,0.0,0.0,0.0,0.0,1.0
DepartureDelayGroups,3957823.0,,,,0.21412478526705211,2.3459725271837937,-2.0,-1.0,-1.0,0.0,12.0
DepTimeBlk,4078318,19,0600-0659,286192,,,,,,,
TaxiOut,3955652.0,,,,16.973750218674443,9.49540682639277,1.0,11.0,15.0,19.0,221.0
WheelsOff,3955652.0,,,,1356.5755786909465,507.5579520102844,1.0,932.0,1338.0,1758.0,2400.0
WheelsOn,3954076.0,,,,1455.0726842377335,537.8427663440281,1.0,1044.0,1456.0,1909.0,2400.0
TaxiIn,3954076.0,,,,7.89438695664929,6.663118162816816,1.0,4.0,6.0,9.0,290.0
CRSArrTime,4078318.0,,,,1486.057737528069,518.5077759377326,1.0,1103.0,1513.0,1920.0,2359.0
ArrDelay,3944916.0,,,,7.528486284625579,55.24625266075487,-100.0,-14.0,-5.0,10.0,7232.0
ArrDel15,3944916.0,,,,0.2164715294318054,0.4118393489818798,0.0,0.0,0.0,0.0,1.0
ArrivalDelayGroups,3944916.0,,,,-0.0625610279154233,2.4874416128109096,-2.0,-1.0,-1.0,0.0,12.0
ArrTimeBlk,4078318,19,1200-1259,256772,,,,,,,
DistanceGroup,4078318.0,,,,3.6635156944603144,2.320847924062523,1.0,2.0,3.0,5.0,11.0
DivAirportLandings,4078318.0,,,,0.0036850976309351063,0.11413307079668389,0.0,0.0,0.0,0.0,9.0
