Date,value
2010-01-25,6.76
2010-02-22,5.43
2010-03-29,3.625
2010-04-26,8.68
2010-05-31,8.76
2010-06-28,6.970000000000001
2010-07-26,6.7
2010-08-30,2.78
2010-09-27,7.95
2010-10-25,8.57
2010-11-29,9.81
2010-12-27,9.635
2011-01-31,5.66
2011-02-28,2.505
2011-03-28,3.3499999999999996
2011-04-25,4.84
2011-05-30,6.3100000000000005
2011-06-27,4.955
2011-07-25,7.54
2011-08-29,8.94
2011-09-26,1.1600000000000001
2011-10-31,1.86
2011-11-28,8.405
2011-12-26,4.63
2012-01-30,2.6
2012-02-27,9.32
2012-03-26,4.885
2012-04-30,5.57
2012-05-28,7.8
2012-06-25,5.415
2012-08-27,7.41
2012-09-24,5.59
2012-10-29,4.4399999999999995
2012-11-26,5.17
2012-12-31,1.09
2013-01-28,1.2
2013-02-25,8.4
2013-03-25,4.84
2013-04-29,5.87
2013-05-27,8.26
2013-06-24,5.279999999999999
2013-07-29,3.21
2013-08-26,2.48
2013-09-30,4.09
2013-10-28,0.65
2013-11-25,4.62
2013-12-30,4.55
2014-01-27,6.99
2014-02-24,6.285
2014-03-31,6.04
2014-04-28,2.35
2014-05-26,3.74
2014-06-30,3.97
2014-07-28,6.52
2014-09-29,9.62
2014-10-27,4.91
2014-11-24,4.025
2014-12-29,5.715
2015-01-26,2.59
2015-02-23,2.66
2015-03-30,5.050000000000001
2015-04-27,2.06
2015-05-25,7.53
2015-06-29,6.880000000000001
2015-07-27,5.18
2015-08-31,5.125
2015-09-28,2.98
2015-10-26,0.955
2015-11-30,6.84
2015-12-28,8.585
2016-01-25,8.64
2016-02-29,5.98
2016-03-28,7.045
2016-04-25,9.44
2016-08-29,4.72
2016-09-26,7.34
2016-10-31,2.94
2016-12-26,3.765
2017-01-30,1.31
2017-02-27,1.82
2017-03-27,9.54
2017-04-24,5.93
2017-05-29,8.295
2017-06-26,7.71
2017-08-28,5.96
2017-09-25,5.745
2017-10-30,4.83
2017-11-27,6.52
2017-12-25,5.21
2018-01-29,1.0
2018-02-26,6.245
2018-03-26,5.2
2018-04-30,9.19
2018-05-28,7.335
2018-07-30,1.07
2018-08-27,5.38
2018-09-24,7.57
2018-10-29,2.915
2018-11-26,6.15
2018-12-31,3.79
2019-01-28,7.365
2019-02-25,9.9
2019-03-25,7.8
2019-04-29,8.685
2019-05-27,4.550000000000001
2019-06-24,7.24
2019-07-29,7.32
2019-08-26,4.97
2019-09-30,3.87
2019-10-28,4.785
2019-11-25,0.03
2019-12-30,3.92
2020-01-27,4.515000000000001
2020-02-24,6.23
2020-03-30,2.47
2020-04-27,1.03
2020-05-25,1.6
2020-06-29,4.32
2020-07-27,7.845
2020-08-31,5.81
2020-09-28,6.37
2020-10-26,5.4
2020-11-30,7.71
2020-12-28,5.57
2021-02-22,4.6899999999999995
2021-03-29,5.33
2021-04-26,2.72
2021-05-31,5.495
2021-06-28,2.6100000000000003
2021-07-26,5.03
2021-08-30,1.93
2021-09-27,2.26
2021-10-25,5.16
2021-11-29,7.73
2021-12-27,4.185
2022-01-31,6.23
2022-02-28,4.225
2022-03-28,4.84
2022-04-25,5.625
2022-06-27,5.525
2022-07-25,8.989999999999998
2022-08-29,6.33
2022-09-26,2.53
2022-10-31,3.96
2022-11-28,2.9850000000000003
2023-01-30,1.245
2023-02-27,2.005
2023-03-27,6.47
2023-04-24,8.38
2023-05-29,2.65
2023-06-26,6.03
2023-07-31,4.449999999999999
2023-08-28,5.15
2023-09-25,7.32
2023-10-30,8.04
2023-11-27,9.23
